Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
0,0,7,3,5,2,16,17,28,22
0,2,3,4,16,6,16,16,11,26
1,2,8,1,5,5,14,19,8,37
2,2,2,1,1,1,1,32,31,27
1,6,6,15,6,6,6,6,42,6
2,2,5,5,14,2,16,19,4,31
1,1,1,3,5,13,1,1,37,37
4,4,4,5,11,17,23,26,3,3
0,1,2,8,3,15,18,20,3,30
2,2,7,10,13,17,8,10,8,23
1,1,6,10,14,15,23,24,3,3
4,4,4,14,14,14,4,4,34,4
1,1,2,2,2,14,20,25,30,3
1,1,1,1,4,12,20,28,20,12
1,0,0,6,17,17,6,4,23,26
1,1,2,3,12,17,3,12,22,27
1,1,3,10,20,20,20,10,10,5
0,7,0,8,15,0,1,32,32,5
1,2,6,8,12,14,16,19,11,11
2,7,2,7,7,19,7,19,7,23
2,1,11,8,2,17,24,5,3,27
1,2,3,17,14,4,3,2,21,33
4,4,4,11,1,11,22,6,5,32
1,1,1,2,3,26,30,30,3,3
0,0,0,7,23,5,4,3,34,24
0,3,3,8,5,19,19,20,20,3
1,1,2,4,6,8,10,20,40,8
0,1,1,1,17,20,2,26,29,3
0,0,0,3,0,22,23,24,25,3
0,1,0,15,18,2,3,5,33,23
0,1,1,13,1,19,2,31,2,30
2,2,11,12,12,16,16,17,6,6
1,1,1,1,4,6,21,21,22,22
2,2,7,9,2,15,17,20,21,5
0,0,4,15,18,6,4,2,28,23
1,1,1,1,6,15,20,25,20,10
1,3,3,3,5,5,10,10,30,30
1,1,1,8,15,16,5,5,25,23
1,4,1,1,1,1,1,30,32,28
5,6,8,10,13,15,5,28,6,4
2,3,10,13,16,19,3,3,4,27
2,3,3,12,13,2,3,29,31,2
1,1,9,13,17,21,26,1,8,3
2,2,2,2,2,22,22,22,22,2
1,1,1,1,2,5,11,24,26,28
1,2,9,4,6,14,9,8,21,26
3,7,2,13,2,19,22,25,3,4
0,3,3,12,12,17,12,17,12,12
1,1,1,11,1,11,3,34,3,34
0,7,10,13,3,4,5,5,30,23
0,0,0,2,12,16,0,33,34,3
3,4,4,4,24,6,6,7,8,34
3,3,3,5,16,20,6,19,7,18
1,2,2,3,4,6,9,14,23,36
1,3,5,10,16,26,20,11,4,4
2,5,10,1,1,16,3,31,27,4
2,2,2,2,2,20,20,20,20,10
2,2,2,2,13,15,19,22,19,4
1,6,6,11,11,16,16,16,11,6
2,2,2,11,2,21,1,28,1,30
1,6,2,12,2,18,2,24,3,30
2,2,2,1,2,2,16,24,24,25
2,3,3,5,17,19,19,2,2,28
0,0,0,1,17,17,1,21,10,33
1,2,3,10,25,4,5,5,10,35
6,3,3,16,3,22,31,4,4,8
1,5,1,1,1,1,1,28,29,32
2,1,1,1,1,1,1,23,33,36
0,0,1,18,2,24,3,22,3,27
1,2,7,11,14,17,2,3,21,22
2,3,2,2,3,8,22,22,15,21
0,0,2,3,20,20,20,2,2,31
3,3,3,3,3,20,20,21,21,3
0,1,5,10,5,4,15,10,25,25
4,5,6,7,11,27,28,4,4,4
1,2,2,3,4,6,9,14,22,37
1,2,3,3,5,5,14,12,30,25
1,2,2,2,2,11,26,26,26,2
0,0,3,0,0,14,14,5,33,31
0,2,0,16,3,19,3,0,33,24
1,1,1,14,21,2,2,25,28,5
3,3,4,5,3,16,23,7,17,19
1,0,1,2,12,21,27,32,2,2
1,3,3,4,4,7,8,13,20,37
3,6,7,1,2,22,22,2,2,33
1,2,11,2,14,16,17,31,3,3
0,0,11,0,0,7,7,7,34,34
2,3,8,10,14,7,6,5,21,24
1,3,1,7,4,12,32,3,34,3
3,2,5,9,11,15,22,20,3,10
0,0,4,16,21,2,4,5,32,16
0,0,0,10,10,25,25,15,10,5
1,1,1,2,16,20,24,2,30,3
1,2,2,2,11,15,17,22,15,13
1,4,9,7,3,9,7,25,20,15
1,1,2,2,6,6,14,20,22,26
